"Stratum","Excluded","Arm","Se_mean","Se_lo","Se_hi","Sp_mean","Sp_lo","Sp_hi","Full_Se","Full_Sp"
"Established keratoconus vs normal","S21","Biomechanics (Corvis ST)",0.923844047111166,0.836656012192493,0.974105150650613,0.962080884485907,0.884384567423417,0.993469426072189,NA,NA
"Established keratoconus vs normal","S21","OCT",0.957837883222545,0.90088175218359,0.98712626208362,0.980905192231454,0.935777001102137,0.99753900639156,NA,NA
"Established keratoconus vs normal","S21c","Scheimpflug tomography",0.972177574244739,0.956269420261787,0.98372329716944,0.984930300406237,0.970655669566299,0.993540518854708,NA,NA
"Established keratoconus vs normal","S21c","Placido topography",0.965429554634102,0.936366646715808,0.98330725219321,0.974250305712497,0.941534796470701,0.991287310788172,NA,NA
"Established keratoconus vs normal","S21c","Biomechanics (Corvis ST)",0.922616086489659,0.834842985159729,0.972318726436765,0.96234029579108,0.874775636628178,0.993518322613995,NA,NA
"Established keratoconus vs normal","S21c","OCT",0.957254584492098,0.909211803433324,0.983276064307351,0.977917864886264,0.933934032248683,0.996558980076484,NA,NA
"Established keratoconus vs normal","S20a","Scheimpflug tomography",0.974163562991492,0.957698102455979,0.985649652237254,0.980404333177681,0.963716227584221,0.990668445625856,NA,NA
"Established keratoconus vs normal","S20a","Placido topography",0.960742409259417,0.931335847509766,0.980236472670693,0.97808968960242,0.954352691158889,0.991529608006227,NA,NA
"Established keratoconus vs normal","S20a","Biomechanics (Corvis ST)",0.922418822718897,0.834068995796534,0.973380263917033,0.964447359250117,0.898937374535122,0.992671486004362,NA,NA
"Established keratoconus vs normal","S20a","OCT",0.956821892912021,0.907593083371218,0.984673248171316,0.97752636614273,0.939757250516491,0.995672273501259,NA,NA
"Established keratoconus vs normal","S10","Scheimpflug tomography",0.971848142262489,0.956162209253117,0.983558695284632,0.983845967531136,0.968572958130286,0.993111284529557,NA,NA
"Established keratoconus vs normal","S10","Placido topography",0.96164332348593,0.931972105131102,0.981097849523345,0.978363167425461,0.949459286199173,0.992669231636386,NA,NA
"Established keratoconus vs normal","S10","Biomechanics (Corvis ST)",0.923927470671722,0.838516528611237,0.971457129936107,0.963141243110077,0.876531967169538,0.993302299830229,NA,NA
"Established keratoconus vs normal","S10","OCT",0.957909680162879,0.910859005718702,0.984366481853962,0.977864712057257,0.929575271805154,0.996153212908608,NA,NA
"Established keratoconus vs normal","S23","Scheimpflug tomography",0.972826707939547,0.957360601530638,0.983871371231321,0.98415070741281,0.96859506054904,0.994053951744978,NA,NA
"Established keratoconus vs normal","S23","Placido topography",0.957386391291427,0.925586981181786,0.978873178072696,0.976029379289286,0.943502854394555,0.991847388412697,NA,NA
"Established keratoconus vs normal","S23","Biomechanics (Corvis ST)",0.922463623680141,0.839735617610043,0.971038264812318,0.963731738904019,0.882365682091202,0.993392893500231,NA,NA
"Established keratoconus vs normal","S23","OCT",0.95766974176356,0.91148094560148,0.983829045777208,0.977415110467625,0.930033444885703,0.996289758063177,NA,NA
"Established keratoconus vs normal","S02","Scheimpflug tomography",0.972859062494132,0.958180653042796,0.983867344847046,0.984343578935881,0.970085900023957,0.993292873931364,NA,NA
"Established keratoconus vs normal","S02","Placido topography",0.960960769723433,0.932571711256718,0.980208299953899,0.978804603665334,0.955713797025759,0.991836671647275,NA,NA
"Established keratoconus vs normal","S02","Biomechanics (Corvis ST)",0.922152442472226,0.843412648550294,0.970323001624849,0.963893913243921,0.89283332889984,0.992878332091325,NA,NA
"Established keratoconus vs normal","S02","OCT",0.946333082719857,0.882128184867176,0.98087843009535,0.962273517260104,0.886995609078775,0.993400697801603,NA,NA
"Established keratoconus vs normal","S71","Scheimpflug tomography",0.972323617957321,0.955909631073966,0.984187202094052,0.98462157841577,0.97010947088004,0.993361416031857,NA,NA
"Established keratoconus vs normal","S71","Placido topography",0.960226118958835,0.928807503981071,0.980003228589068,0.97731337140467,0.948140032095467,0.9923896612768,NA,NA
"Established keratoconus vs normal","S71","Biomechanics (Corvis ST)",0.924324644907356,0.838271182892194,0.972118577455396,0.960778091853882,0.873340247240546,0.992943318309345,NA,NA
"Established keratoconus vs normal","S71","OCT",0.957814588696183,0.911883655222028,0.983662944801713,0.977473756677862,0.935499711822279,0.995855867281601,NA,NA
"Established keratoconus vs normal","S43","Scheimpflug tomography",0.972792107568683,0.957457579954283,0.984525481163996,0.984345513437038,0.969640594501153,0.993449942090304,NA,NA
"Established keratoconus vs normal","S43","Placido topography",0.95542710346961,0.919009474895975,0.977997020131415,0.977823671184106,0.948299719545199,0.992850450108835,NA,NA
"Established keratoconus vs normal","S43","Biomechanics (Corvis ST)",0.922665863046627,0.838036249681003,0.971960567797277,0.962127061328902,0.883297256294618,0.993349880650931,NA,NA
"Established keratoconus vs normal","S43","OCT",0.958411775771913,0.911203544710562,0.984513847558133,0.977836954829895,0.930933055023289,0.996128220058805,NA,NA
"Established keratoconus vs normal","S44","Scheimpflug tomography",0.974363204024982,0.959035979343761,0.985455888323748,0.986449900460432,0.973300602676138,0.99432604077789,NA,NA
"Established keratoconus vs normal","S44","Placido topography",0.961242914894902,0.932421353556333,0.980191758813194,0.978092880772753,0.952642670674442,0.991645378862575,NA,NA
"Established keratoconus vs normal","S44","Biomechanics (Corvis ST)",0.921655474005635,0.833007461271042,0.97156080431937,0.961559749254775,0.883803263023897,0.992676695572988,NA,NA
"Established keratoconus vs normal","S44","OCT",0.957197514125732,0.908883031867043,0.983618103228937,0.979201925064923,0.939540019053631,0.996091713558088,NA,NA
"Established keratoconus vs normal","S68","Scheimpflug tomography",0.973429358527967,0.957656746031485,0.985054202959458,0.982785588815568,0.966074621115291,0.992525500826698,NA,NA
"Established keratoconus vs normal","S68","Placido topography",0.961338967548386,0.932429960164203,0.980689467856825,0.978255191446014,0.952873795226209,0.992079161693612,NA,NA
"Established keratoconus vs normal","S68","Biomechanics (Corvis ST)",0.924744022749041,0.840744173200505,0.973768678705684,0.962600998217227,0.892216668796103,0.993348957078952,NA,NA
"Established keratoconus vs normal","S68","OCT",0.957347408510485,0.905695429267708,0.984568681368639,0.978831949908464,0.936610989707879,0.996162662353513,NA,NA
"Established keratoconus vs normal","S35","Scheimpflug tomography",0.972366023615435,0.956523129449976,0.984281601574169,0.983084216559911,0.967215871051601,0.992730134492876,NA,NA
"Established keratoconus vs normal","S35","Placido topography",0.961954761369155,0.933545693238354,0.980541724316937,0.97782365962718,0.952319520372391,0.991821517202577,NA,NA
"Established keratoconus vs normal","S35","Biomechanics (Corvis ST)",0.922304543905247,0.840542153207822,0.971118056633679,0.963113849826553,0.885098242175416,0.993087150404087,NA,NA
"Established keratoconus vs normal","S35","OCT",0.957379886055639,0.910850190547762,0.983542082411708,0.976530917372975,0.934092557335449,0.995380135778128,NA,NA
"Established keratoconus vs normal","S36","Scheimpflug tomography",0.971675612029799,0.954339025157538,0.984478916596165,0.980951621564828,0.964468586930645,0.991511173354445,NA,NA
"Established keratoconus vs normal","S36","Placido topography",0.961057717216313,0.931297761943174,0.980871221836564,0.978414810666262,0.953684477434456,0.991815069661675,NA,NA
"Established keratoconus vs normal","S36","Biomechanics (Corvis ST)",0.922607882232642,0.831272016110831,0.97363694598132,0.962756823893301,0.89378562131841,0.991662370587684,NA,NA
"Established keratoconus vs normal","S36","OCT",0.958634212945718,0.911279408892226,0.985020065356918,0.977712122809307,0.934832410469465,0.995578818659997,NA,NA
"Established keratoconus vs normal","S29","Scheimpflug tomography",0.972261870922827,0.956237720106783,0.984324207311278,0.984625155020996,0.969553749426173,0.993754937895426,NA,NA
"Established keratoconus vs normal","S29","Placido topography",0.960596777377157,0.931114449311061,0.97981592312277,0.978954587843958,0.952093085948025,0.992954772151937,NA,NA
"Established keratoconus vs normal","S29","Biomechanics (Corvis ST)",0.921028806573157,0.815685194353553,0.97449578529552,0.963939069482936,0.87198434603731,0.995481214423424,NA,NA
"Established keratoconus vs normal","S29","OCT",0.958915677127894,0.913647496839318,0.985031615447104,0.977565039136751,0.932493790527997,0.995887238345643,NA,NA
"Established keratoconus vs normal","S70","Scheimpflug tomography",0.972539973642463,0.956899373806575,0.984191317120876,0.984992448601759,0.969484724294825,0.993721489476061,NA,NA
"Established keratoconus vs normal","S70","Placido topography",0.963639690455698,0.936489238125353,0.981882384525016,0.978524590890852,0.94992115054151,0.993052393646972,NA,NA
"Established keratoconus vs normal","S70","Biomechanics (Corvis ST)",0.923357955470844,0.834657271555641,0.971390544757851,0.961192344358432,0.878361988200969,0.993191283417307,NA,NA
"Established keratoconus vs normal","S70","OCT",0.957610671023535,0.912164693570977,0.984093243677234,0.97874207872107,0.934204741717871,0.996571654250774,NA,NA
"Established keratoconus vs normal","S31","Scheimpflug tomography",0.973253943222743,0.958171281263553,0.984354524153245,0.98626013998826,0.972862492567122,0.99401277056761,NA,NA
"Established keratoconus vs normal","S31","Placido topography",0.96135130658773,0.9337443489916,0.979388731003965,0.978293741606655,0.953658114435573,0.991223810261479,NA,NA
"Established keratoconus vs normal","S31","Biomechanics (Corvis ST)",0.921631216631752,0.836898763059806,0.969697301811816,0.964652541831401,0.897598481044174,0.992802077402278,NA,NA
"Established keratoconus vs normal","S31","OCT",0.958264791679841,0.916346264457666,0.983293138091729,0.977539604430338,0.937958055384952,0.995121647846565,NA,NA
"Established keratoconus vs normal","S74","Scheimpflug tomography",0.970236459688395,0.952682984681231,0.982703650276136,0.983493188539037,0.967244693271953,0.993249020288914,NA,NA
"Established keratoconus vs normal","S74","Placido topography",0.960916296254189,0.933307996887091,0.979483408454705,0.977954757555854,0.950929379945588,0.992095677481876,NA,NA
"Established keratoconus vs normal","S74","Biomechanics (Corvis ST)",0.9232846778719,0.845152263907494,0.970467814835759,0.961757104832168,0.882638414515369,0.993063521096789,NA,NA
"Established keratoconus vs normal","S74","OCT",0.957649477729791,0.913785684300856,0.982954034429259,0.977144833005679,0.930038890381068,0.995808973252005,NA,NA
"Established keratoconus vs normal","S49","Scheimpflug tomography",0.971880356895912,0.954114505000178,0.983831036792865,0.983130145394165,0.967126635234912,0.992476868264288,NA,NA
"Established keratoconus vs normal","S49","Placido topography",0.961879165103071,0.934207507117567,0.980754156749362,0.978656958046102,0.954810558957615,0.991791939726826,NA,NA
"Established keratoconus vs normal","S49","Biomechanics (Corvis ST)",0.924703791278805,0.837379661710689,0.973247329439233,0.963427401397769,0.888884505089989,0.992654743640218,NA,NA
"Established keratoconus vs normal","S49","OCT",0.957734785327527,0.909519320939286,0.984134313607601,0.978962587515878,0.939767386302125,0.995770422628257,NA,NA
"Established keratoconus vs normal","S53","Scheimpflug tomography",0.972290319468388,0.957019439198112,0.984066316494643,0.984342939443879,0.970039302840028,0.993366479952762,NA,NA
"Established keratoconus vs normal","S53","Placido topography",0.963171914182609,0.933916371489307,0.982094822087242,0.979326253548284,0.952817110958179,0.993465865730227,NA,NA
"Established keratoconus vs normal","S53","Biomechanics (Corvis ST)",0.922846860283852,0.841427816642856,0.971187905669829,0.960330075734688,0.873271067241046,0.993338833604125,NA,NA
"Established keratoconus vs normal","S53","OCT",0.957502767817613,0.909024160946541,0.98389334206145,0.979780414002461,0.936214738458625,0.996902183106723,NA,NA
"Established keratoconus vs normal","S63","Scheimpflug tomography",0.970471260467762,0.953238759542501,0.982515263505984,0.985167087033545,0.971609066307743,0.993759431149106,NA,NA
"Established keratoconus vs normal","S63","Placido topography",0.961613357820529,0.93311412868731,0.980581333450275,0.977974340494956,0.952328385776462,0.992032605080447,NA,NA
"Established keratoconus vs normal","S63","Biomechanics (Corvis ST)",0.920981554132994,0.835265325502039,0.970652533128379,0.962665604868743,0.884373526764729,0.99295148400301,NA,NA
"Established keratoconus vs normal","S63","OCT",0.958481009484025,0.912920421280455,0.983943330015926,0.976308073389059,0.928322150855806,0.99523005704464,NA,NA
"Established keratoconus vs normal","S73","Scheimpflug tomography",0.973984425027399,0.959043095110846,0.985024934533619,0.985597611117594,0.971682963047476,0.994407814164958,NA,NA
"Established keratoconus vs normal","S73","Placido topography",0.961770361669556,0.932749167880128,0.980872736160168,0.978219671156906,0.9515736805521,0.992531100235904,NA,NA
"Established keratoconus vs normal","S73","Biomechanics (Corvis ST)",0.923132488299911,0.841389325833124,0.972175237822645,0.962140051277512,0.879708401159445,0.993417264620107,NA,NA
"Established keratoconus vs normal","S73","OCT",0.95778767298917,0.90854540518679,0.984705646633166,0.976341294772803,0.928758985040198,0.995751832286765,NA,NA
"Established keratoconus vs normal","S47","Scheimpflug tomography",0.970895786369105,0.95505996546048,0.98340437384421,0.983060987961368,0.966557202070225,0.99311361230289,NA,NA
"Established keratoconus vs normal","S47","Placido topography",0.960662263115177,0.930500492129631,0.979968893281327,0.977963936941059,0.952348717422195,0.992232343566386,NA,NA
"Established keratoconus vs normal","S47","Biomechanics (Corvis ST)",0.924296393127388,0.843544552874394,0.972650111393687,0.962587683388903,0.885991304728127,0.992776470296406,NA,NA
"Established keratoconus vs normal","S47","OCT",0.958918506235146,0.910709542688781,0.984614508885976,0.979360097195503,0.937839261105719,0.996273153284462,NA,NA
"Established keratoconus vs normal","S72","Scheimpflug tomography",0.974348774964543,0.95951712064993,0.985169304168009,0.984528648657309,0.9681378992026,0.993787456493116,NA,NA
"Established keratoconus vs normal","S72","Placido topography",0.961074804679786,0.931272504453017,0.980685145275442,0.978607436544839,0.949926537569471,0.993193412699746,NA,NA
"Established keratoconus vs normal","S72","Biomechanics (Corvis ST)",0.92467869890535,0.841626415905585,0.973789158005805,0.960916945892774,0.872263551853132,0.9932033249672,NA,NA
"Established keratoconus vs normal","S72","OCT",0.957911470108395,0.909715837259292,0.984595963804067,0.977876296614802,0.933481500060018,0.995889878885135,NA,NA
"Established keratoconus vs normal","S30","Scheimpflug tomography",0.973311812849939,0.958009256472574,0.984422065900576,0.984458546818002,0.968863979528824,0.993521161913399,NA,NA
"Established keratoconus vs normal","S30","Placido topography",0.961388151098003,0.93385858037267,0.979869341409558,0.97798066449964,0.949757649209955,0.992348973822846,NA,NA
"Established keratoconus vs normal","S30","Biomechanics (Corvis ST)",0.923724156275533,0.83733908582471,0.973167939510472,0.960907008694391,0.870851124707138,0.993724420699193,NA,NA
"Established keratoconus vs normal","S30","OCT",0.957480694017179,0.903128428164294,0.985989729976031,0.981993893891276,0.93525357603907,0.997609600788686,NA,NA
"Established keratoconus vs normal","S33","Scheimpflug tomography",0.970550360582486,0.953149725726198,0.982934806077201,0.983624048628537,0.967584544583063,0.993179986519081,NA,NA
"Established keratoconus vs normal","S33","Placido topography",0.960873359133151,0.931677854004415,0.979886805898662,0.978113329907532,0.95332137672567,0.992504573021831,NA,NA
"Established keratoconus vs normal","S33","Biomechanics (Corvis ST)",0.923307190050692,0.839124399831874,0.970899260058183,0.960731929750771,0.875665895073443,0.993064499822402,NA,NA
"Established keratoconus vs normal","S33","OCT",0.958662262551736,0.912004308295008,0.984715721210827,0.978493239284554,0.933422635373289,0.996126726256799,NA,NA
"Established keratoconus vs normal","S42","Scheimpflug tomography",0.971529608141164,0.954358518197621,0.983752697143779,0.98627573278371,0.972678753042789,0.994333380500072,NA,NA
"Established keratoconus vs normal","S42","Placido topography",0.961704257242241,0.932256449004575,0.981008626149697,0.97804188086536,0.952823661863067,0.992239339625835,NA,NA
"Established keratoconus vs normal","S42","Biomechanics (Corvis ST)",0.924245075207516,0.839989567981782,0.973734148825436,0.962670967896981,0.889062857262825,0.992708658227157,NA,NA
"Established keratoconus vs normal","S42","OCT",0.957203828079454,0.909186502963437,0.984093064817398,0.978208181090933,0.933606082056558,0.995828372983323,NA,NA
"Established keratoconus vs normal","S77","Scheimpflug tomography",0.969535613198476,0.952410660331528,0.982677542332462,0.983583012260743,0.966538054638461,0.993242653773071,NA,NA
"Established keratoconus vs normal","S77","Placido topography",0.962334030461033,0.934732106026019,0.980370930738177,0.978453386067895,0.953039821595639,0.992372530411055,NA,NA
"Established keratoconus vs normal","S77","Biomechanics (Corvis ST)",0.921382206034531,0.84013626892683,0.969229988245503,0.962715971518446,0.886894463780146,0.993116352122338,NA,NA
"Established keratoconus vs normal","S77","OCT",0.957278643352287,0.911649325967858,0.982404346658509,0.978807098801076,0.933039715907838,0.996554185088306,NA,NA
"Established keratoconus vs normal","S48","Scheimpflug tomography",0.972011151297883,0.957409183513018,0.982968423232797,0.984215094799539,0.970175028081407,0.992799249333151,NA,NA
"Established keratoconus vs normal","S48","Placido topography",0.960936986833982,0.934899729938775,0.979192217455336,0.978860619721773,0.955130988525163,0.992110414757446,NA,NA
"Established keratoconus vs normal","S48","Biomechanics (Corvis ST)",0.877515546650138,0.755870748860494,0.953546079689378,0.94379371657537,0.824225735778582,0.990520598958057,NA,NA
"Established keratoconus vs normal","S48","OCT",0.958028859234898,0.916822651250853,0.982523414198001,0.978317911405305,0.936046390570093,0.996232624423755,NA,NA
"Established keratoconus vs normal","S69","Scheimpflug tomography",0.972148708912318,0.955601782463245,0.984273745504503,0.984224121494323,0.969071071196799,0.993540974222055,NA,NA
"Established keratoconus vs normal","S69","Placido topography",0.964330124676664,0.934566129859645,0.982165109308954,0.981080549373113,0.956656837976328,0.993849564510528,NA,NA
"Established keratoconus vs normal","S69","Biomechanics (Corvis ST)",0.923058262034693,0.836099998274813,0.97135229043043,0.963666978038634,0.886530855636047,0.993290441751369,NA,NA
"Established keratoconus vs normal","S69","OCT",0.958894869944492,0.912446791441863,0.985004512367871,0.978580758851166,0.936360675698181,0.996488082182865,NA,NA
"Established keratoconus vs normal","S37","Scheimpflug tomography",0.972730647271181,0.956380546371483,0.984158453802972,0.984879928765228,0.971027608571411,0.993465564759203,NA,NA
"Established keratoconus vs normal","S37","Placido topography",0.961403045637703,0.931106933771505,0.980434175535317,0.977209731719913,0.949148960380037,0.992420898149207,NA,NA
"Established keratoconus vs normal","S37","Biomechanics (Corvis ST)",0.921067249661084,0.811385835623544,0.976582501120871,0.97259635298903,0.896891779103471,0.996726017053182,NA,NA
"Established keratoconus vs normal","S37","OCT",0.958055657220209,0.908380740707947,0.984436515121878,0.976059788543094,0.930165968056046,0.995326620354606,NA,NA
"Early / subclinical keratoconus vs normal","S24","Scheimpflug tomography",0.966177276296937,0.919611429326263,0.989684120656895,0.954951809590903,0.898937013455955,0.985079179964374,NA,NA
"Early / subclinical keratoconus vs normal","S24","Placido topography",0.628038269731644,0.17539376544428,0.942301987188867,0.90610116394439,0.598579604376504,0.99425362128133,NA,NA
"Early / subclinical keratoconus vs normal","S24","Biomechanics (Corvis ST)",0.854484763382933,0.317577545841406,0.997920712384379,0.814571991048758,0.244158660594813,0.993730072641339,NA,NA
"Early / subclinical keratoconus vs normal","S24","OCT",0.947753106232636,0.658673602262062,0.999386649900529,0.95970407997675,0.715911210005509,0.999582206569967,NA,NA
"Early / subclinical keratoconus vs normal","S25","Scheimpflug tomography",0.965157632255701,0.920195330380963,0.989202784598198,0.954720639616241,0.903423601534266,0.983872932460659,NA,NA
