"Node","Sensitivity","Specificity","Excluded","Ref_Se","Ref_Sp","Delta_Se","Delta_Sp"
"Reader only",0.908967777009719,0.927714472833221,"ST023",0.907346411349033,0.927515708818799,0.00162136566068583,0.000198764014422204
"AI only",0.919602695859228,0.942947676805477,"ST023",0.917522396083622,0.942286780426546,0.0020802997756052,0.000660896378930742
"Reader only",0.908086213375361,0.926839916042734,"ST024",0.907346411349033,0.927515708818799,0.000739802026327951,-0.000675792776065332
"AI only",0.91533292915786,0.941478411660431,"ST024",0.917522396083622,0.942286780426546,-0.00218946692576283,-0.000808368766114564
"Reader only",0.907253433924449,0.929265825745267,"ST025",0.907346411349033,0.927515708818799,-9.29774245835846e-05,0.00175011692646831
"AI only",0.918673138610682,0.942181016669742,"ST025",0.917522396083622,0.942286780426546,0.00115074252705949,-0.000105763756803823
"Reader only",0.906905870641815,0.927214074183557,"ST026",0.907346411349033,0.927515708818799,-0.000440540707217774,-0.000301634635242354
"AI only",0.916913651757939,0.941310932396796,"ST026",0.917522396083622,0.942286780426546,-0.00060874432568303,-0.000975848029749371
"Reader only",0.904198914765505,0.936313441959484,"ST027",0.907346411349033,0.927515708818799,-0.00314749658352786,0.00879773314068455
"AI only",0.919114158040136,0.942920173878784,"ST027",0.917522396083622,0.942286780426546,0.00159176195651312,0.000633393452238007
"Reader only",0.90756945306291,0.927582784029546,"ST028",0.907346411349033,0.927515708818799,0.000223041713877326,6.70752107465589e-05
"AI only",0.92043228583496,0.942878714504431,"ST028",0.917522396083622,0.942286780426546,0.00290988975133744,0.000591934077885492
"Reader only",0.906096653775649,0.927834457951339,"ST029",0.907346411349033,0.927515708818799,-0.00124975757338364,0.000318749132540042
"AI only",0.919304302685251,0.94101807777691,"ST029",0.917522396083622,0.942286780426546,0.00178190660162891,-0.00126870264963586
"Reader only",0.906264632132265,0.929569654007449,"ST030",0.907346411349033,0.927515708818799,-0.001081779216768,0.00205394518865021
"AI only",0.918378092417084,0.942102776068584,"ST030",0.917522396083622,0.942286780426546,0.000855696333461498,-0.000184004357961842
"Reader only",0.906035083025409,0.929416292495473,"ST031",0.907346411349033,0.927515708818799,-0.00131132832362402,0.00190058367667434
"AI only",0.917085252658428,0.942134974744594,"ST031",0.917522396083622,0.942286780426546,-0.000437143425194741,-0.000151805681952055
"Reader only",0.894826604975832,0.926910447852647,"ST032",0.907346411349033,0.927515708818799,-0.0125198063732004,-0.000605260966152321
"AI only",0.916188979718531,0.942429561206973,"ST032",0.917522396083622,0.942286780426546,-0.00133341636509121,0.000142780780426732
"Reader only",0.905323515039736,0.929056313565944,"ST033",0.907346411349033,0.927515708818799,-0.00202289630929708,0.00154060474714446
"AI only",0.917842826716209,0.941312499702586,"ST033",0.917522396083622,0.942286780426546,0.00032043063258691,-0.000974280723959997
"Reader only",0.904883809966741,0.926612768061498,"ST034",0.907346411349033,0.927515708818799,-0.00246260138229215,-0.000902940757301574
"AI only",0.91820052706435,0.94091307432166,"ST034",0.917522396083622,0.942286780426546,0.000678130980727443,-0.00137370610488607
"Reader only",0.905386625664868,0.929595482023794,"ST035",0.907346411349033,0.927515708818799,-0.00195978568416444,0.00207977320499453
"AI only",0.918855307794937,0.940823074323621,"ST035",0.917522396083622,0.942286780426546,0.00133291171131467,-0.00146370610292512
"Reader only",0.907577324781503,0.92955660808044,"ST036",0.907346411349033,0.927515708818799,0.000230913432470281,0.00204089926164053
"AI only",0.917989235967942,0.942295757819932,"ST036",0.917522396083622,0.942286780426546,0.000466839884320058,8.97739338645565e-06
"Reader only",0.905626688709072,0.92765263818893,"ST037",0.907346411349033,0.927515708818799,-0.00171972263996101,0.000136929370131322
"AI only",0.918449652112394,0.942460421557554,"ST037",0.917522396083622,0.942286780426546,0.000927256028771528,0.00017364113100804
"Reader only",0.90784783490713,0.928322016958751,"ST038",0.907346411349033,0.927515708818799,0.000501423558097236,0.000806308139951972
"AI only",0.919439024571255,0.942025475129824,"ST038",0.917522396083622,0.942286780426546,0.00191662848763219,-0.000261305296721859
"Reader only",0.900472812778305,0.930076392779856,"ST039",0.907346411349033,0.927515708818799,-0.00687359857072789,0.00256068396105646
"AI only",0.916846117213078,0.940634486743411,"ST039",0.917522396083622,0.942286780426546,-0.000676278870544667,-0.00165229368313446
"Reader only",0.890717354315524,0.914181481885067,"ST040",0.907346411349033,0.927515708818799,-0.016629057033509,-0.0133342269337321
"AI only",0.917826574845752,0.94036010295185,"ST040",0.917522396083622,0.942286780426546,0.000304178762129292,-0.00192667747469621
"Reader only",0.906166610507033,0.928228247808138,"ST041",0.907346411349033,0.927515708818799,-0.00117980084199976,0.000712538989339317
"AI only",0.918669852925667,0.941878904891012,"ST041",0.917522396083622,0.942286780426546,0.00114745684204454,-0.000407875535533564
"Reader only",0.906072532372535,0.920193958545446,"ST042",0.907346411349033,0.927515708818799,-0.00127387897649744,-0.00732175027335324
"AI only",0.917434689272747,0.942382382304165,"ST042",0.917522396083622,0.942286780426546,-8.770681087511e-05,9.56018776193668e-05
"Reader only",0.906123907107265,0.929554005628946,"ST043",0.907346411349033,0.927515708818799,-0.00122250424176806,0.00203829681014733
"AI only",0.917702673557142,0.941928602766641,"ST043",0.917522396083622,0.942286780426546,0.000180277473519785,-0.000358177659905201
"Reader only",0.90879658428529,0.928559192416749,"ST044",0.907346411349033,0.927515708818799,0.00145017293625693,0.00104348359794992
"AI only",0.917936299200887,0.942016573656568,"ST044",0.917522396083622,0.942286780426546,0.000413903117264969,-0.000270206769977355
"Reader only",0.907192304359418,0.928415776968506,"ST045",0.907346411349033,0.927515708818799,-0.000154106989615044,0.000900068149707223
"AI only",0.918890339737145,0.943442839708045,"ST045",0.917522396083622,0.942286780426546,0.00136794365352244,0.0011560592814992
"Reader only",0.90467987369525,0.92706673926696,"ST046",0.907346411349033,0.927515708818799,-0.002666537653783,-0.000448969551839151
"AI only",0.920656262090485,0.941793028277895,"ST046",0.917522396083622,0.942286780426546,0.00313386600686294,-0.000493752148650328
"Reader only",0.916393550209297,0.934059038408197,"ST047",0.907346411349033,0.927515708818799,0.0090471388602642,0.00654332958939807
"AI only",0.917743733234394,0.941526579307946,"ST047",0.917522396083622,0.942286780426546,0.000221337150771328,-0.000760201118599979
"Reader only",0.906797976468439,0.928019886006976,"ST048",0.907346411349033,0.927515708818799,-0.000548434880593751,0.000504177188176747
"AI only",0.919053167237422,0.941867574901942,"ST048",0.917522396083622,0.942286780426546,0.0015307711537994,-0.000419205524603838
"Reader only",0.905386907750476,0.927001408216245,"ST049",0.907346411349033,0.927515708818799,-0.00195950359855701,-0.000514300602553974
"AI only",0.918671177478802,0.942275130685756,"ST049",0.917522396083622,0.942286780426546,0.00114878139517938,-1.16497407902649e-05
"Reader only",0.904670754682054,0.926759702526258,"ST050",0.907346411349033,0.927515708818799,-0.00267565666697867,-0.000756006292541467
"AI only",0.917298400784372,0.941011743130552,"ST050",0.917522396083622,0.942286780426546,-0.000223995299250546,-0.00127503729599332
"Reader only",0.906845051543263,0.928340684267982,"ST051",0.907346411349033,0.927515708818799,-0.000501359805769708,0.000824975449182808
"AI only",0.91789732560373,0.942642243659696,"ST051",0.917522396083622,0.942286780426546,0.000374929520107425,0.000355463233150388
"Reader only",0.906998400912409,0.928645398129143,"ST052",0.907346411349033,0.927515708818799,-0.000348010436623802,0.00112968931034385
"AI only",0.917891726000004,0.941171564785101,"ST052",0.917522396083622,0.942286780426546,0.000369329916381167,-0.00111521564144434
"Reader only",0.905848307815836,0.927689209282171,"ST053",0.907346411349033,0.927515708818799,-0.00149810353319635,0.000173500463371945
"AI only",0.917318737689347,0.940874731756638,"ST053",0.917522396083622,0.942286780426546,-0.00020365839427583,-0.00141204866990818
"Reader only",0.909440376403174,0.928725188867358,"ST054",0.907346411349033,0.927515708818799,0.00209396505414106,0.00120948004855892
"AI only",0.917220726950046,0.942978443888991,"ST054",0.917522396083622,0.942286780426546,-0.000301669133576543,0.000691663462445535
"Reader only",0.905933720875514,0.928360142594958,"ST055",0.907346411349033,0.927515708818799,-0.001412690473519,0.000844433776158948
"AI only",0.917234027124758,0.941854104797734,"ST055",0.917522396083622,0.942286780426546,-0.00028836895886486,-0.000432675628811885
"Reader only",0.908319703445439,0.92862587496327,"ST056",0.907346411349033,0.927515708818799,0.000973292096406508,0.00111016614447146
"AI only",0.917986665293779,0.942514880185302,"ST056",0.917522396083622,0.942286780426546,0.000464269210156965,0.00022809975875604
"Reader only",0.9051519919799,0.927666159357904,"ST057",0.907346411349033,0.927515708818799,-0.002194419369133,0.000150450539104785
"AI only",0.918007643664404,0.942523826623634,"ST057",0.917522396083622,0.942286780426546,0.000485247580781278,0.000237046197087976
"Reader only",0.906269940286652,0.928725982786633,"ST058",0.907346411349033,0.927515708818799,-0.00107647106238062,0.00121027396783357
"AI only",0.919430387897631,0.94212054139581,"ST058",0.917522396083622,0.942286780426546,0.00190799181400869,-0.00016623903073576
"Reader only",0.905816109690162,0.932918156407756,"ST059",0.907346411349033,0.927515708818799,-0.00153030165887036,0.00540244758895714
"AI only",0.919562946210703,0.942635381953854,"ST059",0.917522396083622,0.942286780426546,0.00204055012708071,0.000348601527308645
"Reader only",0.906632366023214,0.927782467512781,"ST060",0.907346411349033,0.927515708818799,-0.000714045325818979,0.00026675869398185
"AI only",0.918446587270369,0.942518425659903,"ST060",0.917522396083622,0.942286780426546,0.000924191186746914,0.000231645233356725
"Reader only",0.898395045945188,0.92473761749442,"ST061",0.907346411349033,0.927515708818799,-0.00895136540384456,-0.00277809132437867
"AI only",0.918242865283785,0.942103978475419,"ST061",0.917522396083622,0.942286780426546,0.000720469200162333,-0.000182801951126743
"Reader only",0.901233981836605,0.927415321893631,"ST062",0.907346411349033,0.927515708818799,-0.0061124295124283,-0.000100386925167673
"AI only",0.920093445622522,0.942662668462043,"ST062",0.917522396083622,0.942286780426546,0.0025710495388992,0.000375888035496819
"Reader only",0.906330626407234,0.929423198195938,"ST063",0.907346411349033,0.927515708818799,-0.0010157849417991,0.00190748937713847
"AI only",0.920227781617507,0.941800201855003,"ST063",0.917522396083622,0.942286780426546,0.002705385533885,-0.000486578571542995
"Reader only",0.905525747041418,0.929185103309314,"ST064",0.907346411349033,0.927515708818799,-0.00182066430761518,0.00166939449051484
"AI only",0.918545500306957,0.942181901119558,"ST064",0.917522396083622,0.942286780426546,0.00102310422333485,-0.000104879306988104
"Reader only",0.90564515700997,0.928256200154499,"ST065",0.907346411349033,0.927515708818799,-0.00170125433906265,0.0007404913357002
"AI only",0.918338125055795,0.941766538458383,"ST065",0.917522396083622,0.942286780426546,0.000815728972172414,-0.000520241968163027
"Reader only",0.908451081933035,0.927559804108732,"ST066",0.907346411349033,0.927515708818799,0.00110467058400232,4.40952899324332e-05
"AI only",0.918543708803481,0.942634816690568,"ST066",0.917522396083622,0.942286780426546,0.00102131271985817,0.0003480362640218
"Reader only",0.905382381393259,0.928551436223725,"ST067",0.907346411349033,0.927515708818799,-0.00196402995577349,0.00103572740492586
"AI only",0.91559322958379,0.941605471941505,"ST067",0.917522396083622,0.942286780426546,-0.00192916649983221,-0.00068130848504111
"Reader only",0.906210692695415,0.927397499760209,"ST068",0.907346411349033,0.927515708818799,-0.00113571865361772,-0.000118209058590391
"AI only",0.918024139984662,0.941733856323296,"ST068",0.917522396083622,0.942286780426546,0.000501743901039964,-0.000552924103249475
"Reader only",0.906129869382035,0.928717758671996,"ST069",0.907346411349033,0.927515708818799,-0.00121654196699739,0.0012020498531965
"AI only",0.918556862913586,0.942518870441692,"ST069",0.917522396083622,0.942286780426546,0.00103446682996378,0.000232090015146569
"Reader only",0.910468053994633,0.928139647051352,"ST070",0.907346411349033,0.927515708818799,0.0031216426456,0.000623938232553134
"AI only",0.916727982948178,0.941273031056694,"ST070",0.917522396083622,0.942286780426546,-0.000794413135444483,-0.00101374936985221
"Reader only",0.906628978393111,0.929106554212327,"ST071",0.907346411349033,0.927515708818799,-0.00071743295592186,0.00159084539352772
"AI only",0.915786594972307,0.941389868591755,"ST071",0.917522396083622,0.942286780426546,-0.00173580111131522,-0.000896911834790459
"Reader only",0.90435106137595,0.927585358370077,"ST072",0.907346411349033,0.927515708818799,-0.00299534997308271,6.96495512781947e-05
"AI only",0.919333658296128,0.943144771910075,"ST072",0.917522396083622,0.942286780426546,0.00181126221250572,0.000857991483529386
"Reader only",0.904809296027361,0.929176062085254,"ST073",0.907346411349033,0.927515708818799,-0.00253711532167211,0.00166035326645464
"AI only",0.918284498268521,0.941933618604363,"ST073",0.917522396083622,0.942286780426546,0.000762102184898805,-0.000353161822182924
"Reader only",0.905427902037923,0.9269659678835,"ST074",0.907346411349033,0.927515708818799,-0.00191850931110937,-0.000549740935299026
"AI only",0.918224032196306,0.941989952698816,"ST074",0.917522396083622,0.942286780426546,0.000701636112683368,-0.000296827727730209
"Reader only",0.907387751955898,0.928189805310865,"ST075",0.907346411349033,0.927515708818799,4.13406068653366e-05,0.0006740964920664
"AI only",0.917732719183469,0.941231865182587,"ST075",0.917522396083622,0.942286780426546,0.000210323099846255,-0.00105491524395873
"Reader only",0.906993718729109,0.926844243243263,"ST076",0.907346411349033,0.927515708818799,-0.000352692619924322,-0.000671465575536323
"AI only",0.918315171409399,0.940370319928038,"ST076",0.917522396083622,0.942286780426546,0.000792775325776818,-0.00191646049850791
