"Node","Sensitivity","Specificity","Excluded","Ref_Se","Ref_Sp","Delta_Se","Delta_Sp"
"AI only",0.917808166513233,0.941800558422221,"ST052",0.917948680308724,0.941733155814096,-0.000140513795491515,6.7402608125211e-05
"Reader only",0.906098424502028,0.92743845476609,"ST053",0.90563948104325,0.927953981417988,0.00045894345877795,-0.000515526651898135
"AI only",0.917105509559536,0.940712716240937,"ST053",0.917948680308724,0.941733155814096,-0.000843170749188826,-0.00102043957315834
"Reader only",0.909872042760164,0.928933394935292,"ST054",0.90563948104325,0.927953981417988,0.00423256171691377,0.000979413517303573
"AI only",0.917675853521959,0.942733861836373,"ST054",0.917948680308724,0.941733155814096,-0.00027282678676499,0.00100070602227675
"Reader only",0.906461143484978,0.928051300034953,"ST055",0.90563948104325,0.927953981417988,0.000821662441727433,9.73186169646034e-05
"AI only",0.916676724997375,0.941677037415563,"ST055",0.917948680308724,0.941733155814096,-0.00127195531134927,-5.61183985325897e-05
"Reader only",0.906833476768188,0.928272537649289,"ST056",0.90563948104325,0.927953981417988,0.00119399572493761,0.000318556231300948
"AI only",0.918871303346602,0.942502491561729,"ST056",0.917948680308724,0.941733155814096,0.000922623037877379,0.000769335747633271
"Reader only",0.906150297363434,0.92774511507539,"ST057",0.90563948104325,0.927953981417988,0.000510816320183238,-0.000208866342598535
"AI only",0.917943679131058,0.942796520539475,"ST057",0.917948680308724,0.941733155814096,-5.00117766588648e-06,0.00106336472537938
"Reader only",0.906246939410199,0.927477505685239,"ST058",0.90563948104325,0.927953981417988,0.000607458366948865,-0.000476475732749559
"AI only",0.919225374843925,0.942294521662179,"ST058",0.917948680308724,0.941733155814096,0.00127669453520063,0.000561365848082862
"Reader only",0.903837658008176,0.93186173330103,"ST059",0.90563948104325,0.927953981417988,-0.00180182303507426,0.00390775188304193
"AI only",0.919014249214735,0.942985253954369,"ST059",0.917948680308724,0.941733155814096,0.00106556890601051,0.00125209814027316
"Reader only",0.906365014096207,0.92842155791595,"ST060",0.90563948104325,0.927953981417988,0.000725533052956862,0.000467576497962141
"AI only",0.919120685332081,0.942049249789582,"ST060",0.917948680308724,0.941733155814096,0.00117200502335657,0.000316093975485932
"Reader only",0.898707124116055,0.923462267229931,"ST061",0.90563948104325,0.927953981417988,-0.00693235692719552,-0.00449171418805749
"AI only",0.918321213526493,0.941976381426476,"ST061",0.917948680308724,0.941733155814096,0.000372533217768534,0.000243225612379772
"Reader only",0.906540543050699,0.928150655341445,"ST062",0.90563948104325,0.927953981417988,0.000901062007448328,0.000196673923457125
"AI only",0.918778286987167,0.942537734547742,"ST062",0.917948680308724,0.941733155814096,0.000829606678443118,0.000804578733646033
"Reader only",0.906563229140228,0.927978514913386,"ST063",0.90563948104325,0.927953981417988,0.000923748096978039,2.45334953973275e-05
"AI only",0.919823956067616,0.941702940765968,"ST063",0.917948680308724,0.941733155814096,0.00187527575889157,-3.02150481280572e-05
"Reader only",0.905198781435954,0.927942026349277,"ST064",0.90563948104325,0.927953981417988,-0.000440699607296535,-1.19550687115444e-05
"AI only",0.918147610178694,0.941520577107652,"ST064",0.917948680308724,0.941733155814096,0.000198929869969389,-0.000212578706443867
"Reader only",0.905710240588737,0.927535324323249,"ST065",0.90563948104325,0.927953981417988,7.07595454869647e-05,-0.000418657094739094
"AI only",0.918099473524468,0.941755418899432,"ST065",0.917948680308724,0.941733155814096,0.000150793215743406,2.22630853362604e-05
"Reader only",0.906678074926887,0.928399036663895,"ST066",0.90563948104325,0.927953981417988,0.00103859388363692,0.000445055245907211
"AI only",0.917915173585264,0.942575772419382,"ST066",0.917948680308724,0.941733155814096,-3.35067234606967e-05,0.000842616605286506
"Reader only",0.905564875632095,0.927168674449372,"ST067",0.90563948104325,0.927953981417988,-7.46054111551153e-05,-0.000785306968616006
