"Stratum","Excluded","Arm","Se_mean","Se_lo","Se_hi","Sp_mean","Sp_lo","Sp_hi","Full_Se","Full_Sp"
"OSCC/cancer vs non-cancer","Yuan_2022","Clinician",0.943421908891892,0.85397246408714,0.986596777639835,0.985350917785177,0.943339105990791,0.999042244299588,0.943057942911164,0.979057239919824
"OSCC/cancer vs non-cancer","Yuan_2022","Automated non-DL",0.936963825957412,0.860387046364653,0.979308125914135,0.915788652169055,0.742594642554272,0.983690887773775,0.941855056577464,0.916560000660229
"OSCC/cancer vs non-cancer","James_2021","AI / DL",0.91285768323466,0.766539818186419,0.97673871854792,0.946279484547058,0.813803920106781,0.993125132618175,0.914848043401851,0.92142677472859
"OSCC/cancer vs non-cancer","James_2021","Clinician",0.9435072121695,0.855838680582223,0.987299662105673,0.981325691646875,0.926135789409484,0.998626477456382,0.943057942911164,0.979057239919824
"OSCC/cancer vs non-cancer","James_2021","Automated non-DL",0.940402288122904,0.844554661741262,0.984228773710856,0.924315041617523,0.753468981942125,0.988794230128248,0.941855056577464,0.916560000660229
"OSCC/cancer vs non-cancer","Yang_2020_Attenuation","AI / DL",0.911278540277301,0.812056269645504,0.968496981119822,0.92683313057915,0.769615036885539,0.986570274392158,0.914848043401851,0.92142677472859
"OSCC/cancer vs non-cancer","Yang_2020_Attenuation","Clinician",0.94099158343978,0.846215885625269,0.987242398610429,0.977094934352036,0.898894123582224,0.998221301217151,0.943057942911164,0.979057239919824
"OSCC/cancer vs non-cancer","Yang_2020_Attenuation","Automated non-DL",0.92984991135942,0.840730663981778,0.976897563187543,0.932618470282878,0.792343887811902,0.989439858851981,0.941855056577464,0.916560000660229
"OSCC/cancer vs non-cancer","Heidari_2018","AI / DL",0.915081142791019,0.814879542955964,0.973534168516788,0.918752621711182,0.784990905618966,0.981656777422477,0.914848043401851,0.92142677472859
"OSCC/cancer vs non-cancer","Heidari_2018","Clinician",0.936177198271724,0.812906689196821,0.988402706279145,0.97005787952549,0.87535721282556,0.99740169143025,0.943057942911164,0.979057239919824
"OSCC/cancer vs non-cancer","Heidari_2018","Automated non-DL",0.945212974169351,0.868831588242025,0.983637248921981,0.898097875520356,0.701951002691191,0.977952712751546,0.941855056577464,0.916560000660229
"OSCC/cancer vs non-cancer","WilderSmith_2009","AI / DL",0.914943173712658,0.822416739468824,0.967350838504027,0.9215379104178,0.764287966056167,0.986829911546925,0.914848043401851,0.92142677472859
"OSCC/cancer vs non-cancer","WilderSmith_2009","Clinician",0.945270350563918,0.856502092932264,0.989555761306471,0.978226775248281,0.902070717531316,0.99888716957025,0.943057942911164,0.979057239919824
"OSCC/cancer vs non-cancer","WilderSmith_2009","Automated non-DL",0.94157714247589,0.86945173072699,0.978228675945316,0.90508209519218,0.730962916567167,0.982132499511283,0.941855056577464,0.916560000660229
"OSCC/cancer vs non-cancer","Tsai_2008","AI / DL",0.916538604640848,0.824073606556831,0.972625497957212,0.921945457452869,0.772428358269708,0.985859021512585,0.914848043401851,0.92142677472859
"OSCC/cancer vs non-cancer","Tsai_2008","Clinician",0.942499573887301,0.856988397220588,0.984980359310884,0.980905700811139,0.91930634172908,0.998306704848094,0.943057942911164,0.979057239919824
"OSCC/cancer vs non-cancer","Tsai_2008","Automated non-DL",0.941488186911333,0.860528280099742,0.981810708541371,0.905504419863276,0.71090883075146,0.98239967972878,0.941855056577464,0.916560000660229
"Dysplasia/OPMD vs non-dysplasia/normal","Panzarella_2024","AI / DL",0.94060539596486,0.803051906412661,0.992565221842762,0.888374698057536,0.642211338289827,0.986335633509459,0.933498508493056,0.876232045715006
"Dysplasia/OPMD vs non-dysplasia/normal","Panzarella_2024","Clinician",0.841525898863027,0.448541261834545,0.986218302312315,0.751686893567155,0.267571584353241,0.980016689694243,0.866258040744243,0.836267857602347
"Dysplasia/OPMD vs non-dysplasia/normal","Panzarella_2024","Automated non-DL",0.927945257074321,0.760183146837319,0.989776601916731,0.857168257164265,0.56058244846192,0.980481292149379,0.927198692050177,0.844176442584765
"Dysplasia/OPMD vs non-dysplasia/normal","Yang_2023_Biomedicines","AI / DL",0.878189952045572,0.678724077158675,0.972958500230281,0.844659944970848,0.458277095982676,0.986984898417131,0.933498508493056,0.876232045715006
"Dysplasia/OPMD vs non-dysplasia/normal","Yang_2023_Biomedicines","Clinician",0.874303569199897,0.700172682435734,0.97075843354257,0.82258459173676,0.450207513089811,0.977646816638482,0.866258040744243,0.836267857602347
"Dysplasia/OPMD vs non-dysplasia/normal","Yang_2023_Biomedicines","Automated non-DL",0.922238804072252,0.773326606913593,0.983725624113538,0.840614169966684,0.504531125428091,0.977325620111886,0.927198692050177,0.844176442584765
"Dysplasia/OPMD vs non-dysplasia/normal","Yang_2022","AI / DL",0.912426319035383,0.688614635420994,0.990832831358438,0.76785754414439,0.395570693138798,0.96947550827805,0.933498508493056,0.876232045715006
"Dysplasia/OPMD vs non-dysplasia/normal","Yang_2022","Clinician",0.860385863697636,0.58646369886833,0.978042432106291,0.84544940008438,0.53422397455879,0.973705805215419,0.866258040744243,0.836267857602347
"Dysplasia/OPMD vs non-dysplasia/normal","Yang_2022","Automated non-DL",0.920092557664134,0.745885603040603,0.987118490737254,0.831556061071125,0.523066475041516,0.972145647218151,0.927198692050177,0.844176442584765
